order,first,second,third,partial,complete,Merlo_AlternativeMergeOrder
DNAn,An,NA,DN,not,not,FALSE
DANn,Nn,DN,An,not,not,TRUE
NDAn,An,DA,ND,not,not,TRUE
NADn,Dn,AD,NA,not,not,TRUE
ADNn,Nn,DN,AD,not,not,TRUE
ANDn,Dn,ND,AN,not,not,TRUE
DNnA,An,NA,DN,whose-pp,not,FALSE
DAnN,An,NA,DN,of-who-pp,not,FALSE
NDnA,An,DA,ND,whose-pp,not,TRUE
NAnD,An,NA,DN,not,of-who-pp,FALSE
ADnN,nN,DN,AD,not,not,TRUE
ANnD,nD,Nn,AN,not,not,TRUE
DnAN,An,NA,DN,whose-pp,not,FALSE
DnNA,An,NA,DN,np,not,FALSE
NnDA,An,DA,ND,not,not,TRUE
NnAD,An,NA,DN,whose-pp,of-who-pp,FALSE
AnDN,An,NA,DN,not,of-who-pp,FALSE
AnND,An,NA,DN,of-who-pp,whose-pp,FALSE
nDNA,An,NA,DN,np,not,FALSE
nDAN,An,NA,DN,whose-pp,np,FALSE
nNDA,An,NA,DN,np,np,FALSE
nNAD,An,NA,DN,np,whose-pp,FALSE
nADN,An,NA,DN,whose-pp,np,FALSE
nAND,An,NA,DN,whose-pp,whose-pp,FALSE